id,name,code,batch_id,no_exams,max_weekly_classes,elective_group_id,is_deleted,created_at,updated_at,credit_hours,prefer_consecutive,amount,ccid,creditdistribution
124,ENGL 1A,10021,32,0,,44,0,,,3,0,220,11,FILIPINO
125,FIL 1,10011,32,0,,44,0,,,3,0,250,11,FILIPINO
126,ENGL 1A,10021,32,0,,44,0,,,3,0,250,12,ENGLISH
127,COLLEGE ALGEBRA,MATH 1,32,0,,44,0,,,3,0,250,14,MATH
128,GENERAL PSYCHOLOGY,PSYCHO 1,32,0,,44,0,,,2.5,0,230,13,PHYSICS
129,ADJUSTMENT TO COLLEGE LIFE,GUIDANCE 101,32,0,,44,0,,,2,0,240,-1,
130,PHILIPPINE HISTORY,HIST 1,32,0,,44,0,,,3,0,250,-1,
131,PHYSICAL FITNESS,P.E. 1,32,0,,44,0,,,3,0,250,-1,
132,ENGL 1A,10021,32,0,,44,0,,,3,0,250,12,ENGLISH
