id,name,code,batch_id,no_exams,max_weekly_classes,elective_group_id,is_deleted,created_at,updated_at,credit_hours,prefer_consecutive,amount,ccid,creditdistribution
133,GENERAL CHEMISTRY,NAT SCI 2,37,0,,47,0,,,3,0,250,0,
134,HOME ECONOMIC AND LIVELIHOOD EDUCATION,HELE,37,0,,47,0,,,3,0,250,0,
135,CHILD AND ADOLESCENT DEVELOPMENT,EDUC 1,37,0,,47,0,,,3,0,250,0,
136,FACILITATING HUMAN LEARNING,EDUC 3,37,0,,47,0,,,3,0,250,-1,
137,PRINCIPLES OF TEACHING 1,EDUC 4,37,0,,47,0,,,3,0,250,-1,
138,THINKING AND STUDY SKILLS/COMM. ARTS 1,ENG 101,37,0,,47,0,,,2.5,0,220,-1,
139,GRAMMAR REVIEW,ENG 1B,37,0,,47,0,,,3,0,250,12,ENGLISH
140,KOMUNIKASYON SA AKADEMIKONG FILIPINO,FIL 101,37,0,,47,0,,,3,0,250,11,FILIPINO
